起点,终点,划分,经纬度
宁陵县站,开封站,5a000K123801,"[115.317271,34.574798],[114.353951,34.77092]"
开封站,郑州站,5a000K123801,"[114.353951,34.77092],[113.658109,34.745803]"
温州站,青田站,5a000K105004,"[120.68502,27.980475],[120.279748,28.136316]"
青田站,缙云站,5a000K105004,"[120.279748,28.136316],[120.095686,28.660212]"
缙云站,永康站,5a000K105004,"[120.095686,28.660212],[120.021127,28.909384]"
永康站,武义站,5a000K105004,"[120.021127,28.909384],[119.830939,28.908214]"
武义站,金华南站,5a000K105004,"[119.830939,28.908214],[119.738674,29.114533]"
金华南站,义乌站,5a000K105004,"[119.738674,29.114533],[120.042847,29.37711]"
义乌站,诸暨站,5a000K105004,"[120.042847,29.37711],[120.185319,29.727662]"
诸暨站,杭州站,5a000K105004,"[120.185319,29.727662],[120.182802,30.243319]"
杭州站,长兴南站,5a000K105004,"[120.182802,30.243319],[119.905044,30.989751]"
长兴南站,广德站,5a000K105004,"[119.905044,30.989751],[119.4094,30.911855]"
广德站,宣城站,5a000K105004,"[119.4094,30.911855],[118.775103,30.948176]"
宣城站,芜湖站,5a000K105004,"[118.775103,30.948176],[118.391915,31.347857]"
芜湖站,巢湖站,5a000K105004,"[118.391915,31.347857],[117.890394,31.614696]"
巢湖站,合肥站,5a000K105004,"[117.890394,31.614696],[117.316957,31.885144]"
合肥站,淮南站,5a000K105004,"[117.316957,31.885144],[117.020242,32.630722]"
淮南站,阜阳站,5a000K105004,"[117.020242,32.630722],[115.868124,32.914557]"
阜阳站,涡阳站,5a000K105004,"[115.868124,32.914557],[116.239942,33.488034]"
涡阳站,淮北站,5a000K105004,"[116.239942,33.488034],[116.802829,33.966703]"
淮北站,徐州站,5a000K105004,"[116.802829,33.966703],[117.206888,34.264954]"
徐州站,枣庄西站,5a000K105004,"[117.206888,34.264954],[117.25453,34.792286]"
枣庄西站,枣庄东站,5a000K105004,"[117.25453,34.792286],[117.548591,34.866858]"
枣庄东站,临沂站,5a000K105004,"[117.548591,34.866858],[118.343483,35.036767]"
临沂站,胶州站,5a000K105004,"[118.343483,35.036767],[119.999533,36.297697]"
胶州站,青岛北站,5a000K105004,"[119.999533,36.297697],[120.37439,36.168945]"
阜阳站,颍上站,53000K8499J0,"[115.868124,32.914557],[116.307583,32.739559]"
颍上站,淮南站,53000K8499J0,"[116.307583,32.739559],[117.020242,32.630722]"
淮南站,合肥站,53000K8499J0,"[117.020242,32.630722],[117.316957,31.885144]"
合肥站,巢湖站,53000K8499J0,"[117.316957,31.885144],[117.890394,31.614696]"
巢湖站,芜湖站,53000K8499J0,"[117.890394,31.614696],[118.391915,31.347857]"
芜湖站,宣城站,53000K8499J0,"[118.391915,31.347857],[118.775103,30.948176]"
宣城站,长兴南站,53000K8499J0,"[118.775103,30.948176],[119.905044,30.989751]"
长兴南站,杭州站,53000K8499J0,"[119.905044,30.989751],[120.182802,30.243319]"
杭州站,绍兴站,53000K8499J0,"[120.182802,30.243319],[120.579668,30.014242]"
绍兴站,余姚站,53000K8499J0,"[120.579668,30.014242],[121.161518,30.054501]"
余姚站,宁波站,53000K8499J0,"[121.161518,30.054501],[121.536807,29.861967]"
兰州站,定西站,85000K104201,"[103.850418,36.034454],[104.625284,35.592511]"
定西站,陇西站,85000K104201,"[104.625284,35.592511],[104.705744,34.951985]"
陇西站,甘谷站,85000K104201,"[104.705744,34.951985],[105.332417,34.763116]"
甘谷站,天水站,85000K104201,"[105.332417,34.763116],[105.89994,34.56589]"
天水站,宝鸡站,85000K104201,"[105.89994,34.56589],[107.153132,34.373293]"
宝鸡站,咸阳站,85000K104201,"[107.153132,34.373293],[108.7343,34.344339]"
咸阳站,西安站,85000K104201,"[108.7343,34.344339],[108.961676,34.277622]"
西安站,商洛站,85000K104201,"[108.961676,34.277622],[110.018431,33.821929]"
商洛站,丹凤站,85000K104201,"[110.018431,33.821929],[110.354317,33.679804]"
丹凤站,商南站,85000K104201,"[110.354317,33.679804],[110.901072,33.526779]"
商南站,西峡站,85000K104201,"[110.901072,33.526779],[111.512299,33.271269]"
西峡站,唐河站,85000K104201,"[111.512299,33.271269],[112.851158,32.666636]"
唐河站,桐柏站,85000K104201,"[112.851158,32.666636],[113.436438,32.390116]"
桐柏站,信阳站,85000K104201,"[113.436438,32.390116],[114.082946,32.128617]"
信阳站,罗山站,85000K104201,"[114.082946,32.128617],[114.55022,32.166112]"
罗山站,息县站,85000K104201,"[114.55022,32.166112],[114.83299,32.172436]"
息县站,潢川站,85000K104201,"[114.83299,32.172436],[115.10259,32.112003]"
潢川站,商城站,85000K104201,"[115.10259,32.112003],[115.442541,31.953155]"
商城站,固始站,85000K104201,"[115.442541,31.953155],[115.66945,31.914996]"
固始站,六安站,85000K104201,"[115.66945,31.914996],[116.499681,31.714889]"
六安站,合肥站,85000K104201,"[116.499681,31.714889],[117.316957,31.885144]"
合肥站,巢湖站,85000K104201,"[117.316957,31.885144],[117.890394,31.614696]"
巢湖站,芜湖站,85000K104201,"[117.890394,31.614696],[118.391915,31.347857]"
芜湖站,杭州站,85000K104201,"[118.391915,31.347857],[120.182802,30.243319]"
杭州站,绍兴站,85000K104201,"[120.182802,30.243319],[120.579668,30.014242]"
绍兴站,余姚站,85000K104201,"[120.579668,30.014242],[121.161518,30.054501]"
余姚站,宁波站,85000K104201,"[121.161518,30.054501],[121.536807,29.861967]"
亳州站,阜阳站,53000K8563A5,"[115.797456,33.847868],[115.868124,32.914557]"
阜阳站,淮南站,53000K8563A5,"[115.868124,32.914557],[117.020242,32.630722]"
淮南站,合肥站,53000K8563A5,"[117.020242,32.630722],[117.316957,31.885144]"
合肥站,芜湖站,53000K8563A5,"[117.316957,31.885144],[118.391915,31.347857]"
芜湖站,宣城站,53000K8563A5,"[118.391915,31.347857],[118.775103,30.948176]"
宣城站,杭州东站,53000K8563A5,"[118.775103,30.948176],[120.213116,30.290998]"
杭州东站,绍兴站,53000K8563A5,"[120.213116,30.290998],[120.579668,30.014242]"
绍兴站,宁波站,53000K8563A5,"[120.579668,30.014242],[121.536807,29.861967]"
平顶山站,漯河站,39000K144000,"[113.304039,33.719223],[114.043753,33.570245]"
漯河站,周口站,39000K144000,"[114.043753,33.570245],[114.665071,33.578593]"
周口站,项城站,39000K144000,"[114.665071,33.578593],[114.890437,33.413042]"
项城站,沈丘站,39000K144000,"[114.890437,33.413042],[115.087546,33.361312]"
沈丘站,界首市站,39000K144000,"[115.087546,33.361312],[115.377966,33.268075]"
界首市站,太和北站,39000K144000,"[115.377966,33.268075],[115.578607,33.221717]"
太和北站,阜阳站,39000K144000,"[115.578607,33.221717],[115.868124,32.914557]"
阜阳站,淮南站,39000K144000,"[115.868124,32.914557],[117.020242,32.630722]"
淮南站,合肥站,39000K144000,"[117.020242,32.630722],[117.316957,31.885144]"
合肥站,芜湖站,39000K144000,"[117.316957,31.885144],[118.391915,31.347857]"
芜湖站,宣城站,39000K144000,"[118.391915,31.347857],[118.775103,30.948176]"
宣城站,长兴南站,39000K144000,"[118.775103,30.948176],[119.905044,30.989751]"
长兴南站,杭州站,39000K144000,"[119.905044,30.989751],[120.182802,30.243319]"
杭州站,绍兴站,39000K144000,"[120.182802,30.243319],[120.579668,30.014242]"
绍兴站,余姚站,39000K144000,"[120.579668,30.014242],[121.161518,30.054501]"
余姚站,宁波站,39000K144000,"[121.161518,30.054501],[121.536807,29.861967]"
杭州东站,绍兴北站,56000G765960,"[120.213116,30.290998],[120.53841,30.099434]"
绍兴北站,绍兴东站,56000G765960,"[120.53841,30.099434],[120.852957,30.054322]"
绍兴东站,余姚北站,56000G765960,"[120.852957,30.054322],[121.168323,30.098002]"
余姚北站,庄桥站,56000G765960,"[121.168323,30.098002],[121.535767,29.923246]"
庄桥站,宁波站,56000G765960,"[121.535767,29.923246],[121.536807,29.861967]"
宁波站,宁海站,56000G765960,"[121.536807,29.861967],[121.42031,29.336069]"
宁海站,临海站,56000G765960,"[121.42031,29.336069],[121.246539,28.880184]"
临海站,台州站,56000G765960,"[121.246539,28.880184],[121.289516,28.685767]"
台州站,雁荡山站,56000G765960,"[121.289516,28.685767],[121.152033,28.341087]"
雁荡山站,绅坊站,56000G765960,"[121.152033,28.341087],[120.991846,28.196595]"
绅坊站,温州南站,56000G765960,"[120.991846,28.196595],[120.585888,27.965853]"
上海虹桥站,桐乡站,5l000G754162,"[121.320038,31.193987],[120.567388,30.537336]"
桐乡站,杭州东站,5l000G754162,"[120.567388,30.537336],[120.213116,30.290998]"
杭州东站,绍兴北站,5l000G754162,"[120.213116,30.290998],[120.53841,30.099434]"
绍兴北站,宁波站,5l000G754162,"[120.53841,30.099434],[121.536807,29.861967]"
宁波站,奉化站,5l000G754162,"[121.536807,29.861967],[121.464575,29.627988]"
奉化站,三门县站,5l000G754162,"[121.464575,29.627988],[121.362831,29.055099]"
三门县站,临海站,5l000G754162,"[121.362831,29.055099],[121.246539,28.880184]"
临海站,台州站,5l000G754162,"[121.246539,28.880184],[121.289516,28.685767]"
长春站,九台站,1100000K750E,"[125.324969,43.911529],[125.83867,44.149756]"
九台站,吉林站,1100000K750E,"[125.83867,44.149756],[126.578085,43.859165]"
吉林站,烟筒山站,1100000K750E,"[126.578085,43.859165],[126.02858,43.284985]"
烟筒山站,明城站,1100000K750E,"[126.02858,43.284985],[126.017796,43.192592]"
明城站,磐石站,1100000K750E,"[126.017796,43.192592],[126.068767,42.927779]"
磐石站,朝阳镇站,1100000K750E,"[126.068767,42.927779],[126.027981,42.684229]"
朝阳镇站,梅河口站,1100000K750E,"[126.027981,42.684229],[125.684766,42.536112]"
梅河口站,草市站,1100000K750E,"[125.684766,42.536112],[125.23559,42.297276]"
草市站,清原站,1100000K750E,"[125.23559,42.297276],[124.935639,42.104785]"
清原站,抚顺北站,1100000K750E,"[124.935639,42.104785],[123.918207,41.888787]"
抚顺北站,沈阳站,1100000K750E,"[123.918207,41.888787],[123.39285,41.795092]"
沈阳站,绥中北站,1100000K750E,"[123.39285,41.795092],[120.324049,40.34872]"
绥中北站,山海关站,1100000K750E,"[120.324049,40.34872],[119.767716,40.000345]"
山海关站,秦皇岛站,1100000K750E,"[119.767716,40.000345],[119.591851,39.965689]"
秦皇岛站,滦县站,1100000K750E,"[119.591851,39.965689],[118.705413,39.758303]"
滦县站,唐山站,1100000K750E,"[118.705413,39.758303],[118.11753,39.625728]"
唐山站,天津站,1100000K750E,"[118.11753,39.625728],[117.210124,39.135957]"
天津站,杨柳青站,1100000K750E,"[117.210124,39.135957],[117.00135,39.142128]"
杨柳青站,静海站,1100000K750E,"[117.00135,39.142128],[116.930098,38.932952]"
静海站,沧州站,1100000K750E,"[116.930098,38.932952],[116.877637,38.309154]"
沧州站,泊头站,1100000K750E,"[116.877637,38.309154],[116.586386,38.060543]"
泊头站,德州站,1100000K750E,"[116.586386,38.060543],[116.288647,37.449387]"
德州站,平原站,1100000K750E,"[116.288647,37.449387],[116.439954,37.170349]"
平原站,济南站,1100000K750E,"[116.439954,37.170349],[116.990918,36.67086]"
济南站,泰山站,1100000K750E,"[116.990918,36.67086],[117.109923,36.187122]"
泰山站,兖州站,1100000K750E,"[117.109923,36.187122],[116.841104,35.556412]"
兖州站,邹城站,1100000K750E,"[116.841104,35.556412],[116.957884,35.400746]"
邹城站,滕州站,1100000K750E,"[116.957884,35.400746],[117.153091,35.081273]"
滕州站,徐州站,1100000K750E,"[117.153091,35.081273],[117.206888,34.264954]"
徐州站,蚌埠站,1100000K750E,"[117.206888,34.264954],[117.378475,32.943137]"
蚌埠站,滁州北站,1100000K750E,"[117.378475,32.943137],[118.327791,32.308138]"
滁州北站,南京站,1100000K750E,"[118.327791,32.308138],[118.797513,32.087122]"
南京站,常州站,1100000K750E,"[118.797513,32.087122],[119.973242,31.785213]"
常州站,无锡站,1100000K750E,"[119.973242,31.785213],[120.306388,31.587908]"
无锡站,苏州站,1100000K750E,"[120.306388,31.587908],[120.610855,31.329669]"
苏州站,上海南站,1100000K750E,"[120.610855,31.329669],[121.429115,31.153182]"
上海南站,嘉兴站,1100000K750E,"[121.429115,31.153182],[120.763429,30.764311]"
嘉兴站,海宁站,1100000K750E,"[120.763429,30.764311],[120.685373,30.533652]"
海宁站,杭州东站,1100000K750E,"[120.685373,30.533652],[120.213116,30.290998]"
杭州东站,绍兴站,1100000K750E,"[120.213116,30.290998],[120.579668,30.014242]"
绍兴站,上虞站,1100000K750E,"[120.579668,30.014242],[120.857116,30.001333]"
上虞站,宁波站,1100000K750E,"[120.857116,30.001333],[121.536807,29.861967]"
杭州东站,绍兴北站,56000D323180,"[120.213116,30.290998],[120.53841,30.099434]"
绍兴北站,绍兴东站,56000D323180,"[120.53841,30.099434],[120.852957,30.054322]"
绍兴东站,余姚北站,56000D323180,"[120.852957,30.054322],[121.168323,30.098002]"
余姚北站,宁波站,56000D323180,"[121.168323,30.098002],[121.536807,29.861967]"
宁波站,温岭站,56000D323180,"[121.536807,29.861967],[121.325743,28.479405]"
温岭站,雁荡山站,56000D323180,"[121.325743,28.479405],[121.152033,28.341087]"
雁荡山站,乐清站,56000D323180,"[121.152033,28.341087],[120.859144,28.084415]"
乐清站,温州南站,56000D323180,"[120.859144,28.084415],[120.585888,27.965853]"
温州南站,平阳站,56000D323180,"[120.585888,27.965853],[120.545104,27.625482]"
平阳站,霞浦站,56000D323180,"[120.545104,27.625482],[120.032435,26.909366]"
霞浦站,罗源站,56000D323180,"[120.032435,26.909366],[119.581429,26.456562]"
罗源站,福州南站,56000D323180,"[119.581429,26.456562],[119.390512,25.985417]"
福州南站,福清站,56000D323180,"[119.390512,25.985417],[119.385429,25.67554]"
福清站,莆田站,56000D323180,"[119.385429,25.67554],[119.063708,25.350188]"
莆田站,泉州站,56000D323180,"[119.063708,25.350188],[118.567767,24.973049]"
泉州站,厦门北站,56000D323180,"[118.567767,24.973049],[118.074093,24.636125]"
厦门北站,漳州站,56000D323180,"[118.074093,24.636125],[117.71602,24.457696]"
南昌站,九江站,57000K12180F,"[115.919655,28.661854],[116.006911,29.703874]"
九江站,湖口站,57000K12180F,"[116.006911,29.703874],[116.284697,29.729179]"
湖口站,彭泽站,57000K12180F,"[116.284697,29.729179],[116.543024,29.866082]"
彭泽站,东至站,57000K12180F,"[116.543024,29.866082],[117.028588,30.172378]"
东至站,池州站,57000K12180F,"[117.028588,30.172378],[117.522447,30.61924]"
池州站,铜陵站,57000K12180F,"[117.522447,30.61924],[117.81791,30.94243]"
铜陵站,芜湖站,57000K12180F,"[117.81791,30.94243],[118.391915,31.347857]"
芜湖站,宣城站,57000K12180F,"[118.391915,31.347857],[118.775103,30.948176]"
宣城站,长兴南站,57000K12180F,"[118.775103,30.948176],[119.905044,30.989751]"
长兴南站,德清西站,57000K12180F,"[119.905044,30.989751],[119.958143,30.535202]"
德清西站,杭州站,57000K12180F,"[119.958143,30.535202],[120.182802,30.243319]"
杭州站,绍兴站,57000K12180F,"[120.182802,30.243319],[120.579668,30.014242]"
绍兴站,宁波站,57000K12180F,"[120.579668,30.014242],[121.536807,29.861967]"
南京南站,杭州东站,5l000D323900,"[118.798147,31.968587],[120.213116,30.290998]"
杭州东站,绍兴北站,5l000D323900,"[120.213116,30.290998],[120.53841,30.099434]"
绍兴北站,余姚北站,5l000D323900,"[120.53841,30.099434],[121.168323,30.098002]"
余姚北站,宁波站,5l000D323900,"[121.168323,30.098002],[121.536807,29.861967]"
宁波站,台州站,5l000D323900,"[121.536807,29.861967],[121.289516,28.685767]"
台州站,温岭站,5l000D323900,"[121.289516,28.685767],[121.325743,28.479405]"
温岭站,绅坊站,5l000D323900,"[121.325743,28.479405],[120.991846,28.196595]"
绅坊站,温州南站,5l000D323900,"[120.991846,28.196595],[120.585888,27.965853]"
温州南站,瑞安站,5l000D323900,"[120.585888,27.965853],[120.581982,27.76681]"
瑞安站,福鼎站,5l000D323900,"[120.581982,27.76681],[120.189114,27.282524]"
福鼎站,宁德站,5l000D323900,"[120.189114,27.282524],[119.583257,26.668927]"
宁德站,福州站,5l000D323900,"[119.583257,26.668927],[119.320547,26.114035]"
福州站,永泰站,5l000D323900,"[119.320547,26.114035],[118.933949,25.848546]"
永泰站,尤溪站,5l000D323900,"[118.933949,25.848546],[118.142653,26.167399]"
尤溪站,三明北站,5l000D323900,"[118.142653,26.167399],[117.805061,26.374528]"
三明北站,三明站,5l000D323900,"[117.805061,26.374528],[117.590044,26.228238]"
三明站,永安南站,5l000D323900,"[117.590044,26.228238],[117.388365,25.937702]"
永安南站,漳平西站,5l000D323900,"[117.388365,25.937702],[117.360913,25.322044]"
漳平西站,龙岩站,5l000D323900,"[117.360913,25.322044],[117.007704,25.09663]"
龙岩站,南靖站,5l000D323900,"[117.007704,25.09663],[117.449294,24.579074]"
南靖站,漳州站,5l000D323900,"[117.449294,24.579074],[117.71602,24.457696]"
漳州站,厦门北站,5l000D323900,"[117.71602,24.457696],[118.074093,24.636125]"
杭州东站,绍兴北站,56000D3111D0,"[120.213116,30.290998],[120.53841,30.099434]"
绍兴北站,余姚北站,56000D3111D0,"[120.53841,30.099434],[121.168323,30.098002]"
余姚北站,宁波站,56000D3111D0,"[121.168323,30.098002],[121.536807,29.861967]"
宁波站,临海站,56000D3111D0,"[121.536807,29.861967],[121.246539,28.880184]"
临海站,台州站,56000D3111D0,"[121.246539,28.880184],[121.289516,28.685767]"
台州站,绅坊站,56000D3111D0,"[121.289516,28.685767],[120.991846,28.196595]"
绅坊站,温州南站,56000D3111D0,"[120.991846,28.196595],[120.585888,27.965853]"
温州南站,平阳站,56000D3111D0,"[120.585888,27.965853],[120.545104,27.625482]"
平阳站,苍南站,56000D3111D0,"[120.545104,27.625482],[120.412051,27.527902]"
苍南站,太姥山站,56000D3111D0,"[120.412051,27.527902],[120.223951,27.126617]"
太姥山站,宁德站,56000D3111D0,"[120.223951,27.126617],[119.583257,26.668927]"
宁德站,福州南站,56000D3111D0,"[119.583257,26.668927],[119.390512,25.985417]"
福州南站,莆田站,56000D3111D0,"[119.390512,25.985417],[119.063708,25.350188]"
莆田站,泉州站,56000D3111D0,"[119.063708,25.350188],[118.567767,24.973049]"
泉州站,厦门北站,56000D3111D0,"[118.567767,24.973049],[118.074093,24.636125]"
厦门北站,漳州站,56000D3111D0,"[118.074093,24.636125],[117.71602,24.457696]"
漳州站,漳浦站,56000D3111D0,"[117.71602,24.457696],[117.563391,24.095818]"
漳浦站,饶平站,56000D3111D0,"[117.563391,24.095818],[116.932263,23.711938]"
饶平站,潮汕站,56000D3111D0,"[116.932263,23.711938],[116.588171,23.539591]"
潮汕站,普宁站,56000D3111D0,"[116.588171,23.539591],[116.199408,23.266761]"
普宁站,陆丰站,56000D3111D0,"[116.199408,23.266761],[115.733312,22.947791]"
陆丰站,惠州南站,56000D3111D0,"[115.733312,22.947791],[114.492213,22.78464]"
惠州南站,深圳北站,56000D3111D0,"[114.492213,22.78464],[114.029397,22.609756]"
上海虹桥站,嘉兴南站,5l000D314560,"[121.320038,31.193987],[120.799816,30.690975]"
嘉兴南站,余杭站,5l000D314560,"[120.799816,30.690975],[120.296609,30.380945]"
余杭站,杭州东站,5l000D314560,"[120.296609,30.380945],[120.213116,30.290998]"
杭州东站,绍兴北站,5l000D314560,"[120.213116,30.290998],[120.53841,30.099434]"
绍兴北站,绍兴东站,5l000D314560,"[120.53841,30.099434],[120.852957,30.054322]"
绍兴东站,余姚北站,5l000D314560,"[120.852957,30.054322],[121.168323,30.098002]"
余姚北站,宁波站,5l000D314560,"[121.168323,30.098002],[121.536807,29.861967]"
宁波站,临海站,5l000D314560,"[121.536807,29.861967],[121.246539,28.880184]"
临海站,台州站,5l000D314560,"[121.246539,28.880184],[121.289516,28.685767]"
台州站,永嘉站,5l000D314560,"[121.289516,28.685767],[120.695412,28.069463]"
永嘉站,温州南站,5l000D314560,"[120.695412,28.069463],[120.585888,27.965853]"
温州南站,瑞安站,5l000D314560,"[120.585888,27.965853],[120.581982,27.76681]"
瑞安站,平阳站,5l000D314560,"[120.581982,27.76681],[120.545104,27.625482]"
平阳站,福安站,5l000D314560,"[120.545104,27.625482],[119.717304,26.833989]"
福安站,连江站,5l000D314560,"[119.717304,26.833989],[119.566780,26.193756]"
连江站,福州南站,5l000D314560,"[119.566780,26.193756],[119.390512,25.985417]"
福州南站,莆田站,5l000D314560,"[119.390512,25.985417],[119.063708,25.350188]"
莆田站,泉州站,5l000D314560,"[119.063708,25.350188],[118.567767,24.973049]"
泉州站,厦门北站,5l000D314560,"[118.567767,24.973049],[118.074093,24.636125]"
厦门北站,漳州站,5l000D314560,"[118.074093,24.636125],[117.71602,24.457696]"
漳州站,龙岩站,5l000D314560,"[117.71602,24.457696],[117.007704,25.09663]"
龙岩站,冠豸山站,5l000D314560,"[117.007704,25.09663],[116.679898,25.524265]"
冠豸山站,长汀南站,5l000D314560,"[116.679898,25.524265],[116.358279,25.766634]"
长汀南站,瑞金站,5l000D314560,"[116.358279,25.766634],[116.055273,25.863887]"
瑞金站,于都站,5l000D314560,"[116.055273,25.863887],[115.417005,25.975189]"
于都站,赣州站,5l000D314560,"[115.417005,25.975189],[114.964304,25.819241]"
郑州站,开封站,380000T32807,"[113.658109,34.745803],[114.353951,34.77092]"
开封站,兰考站,380000T32807,"[114.353951,34.77092],[114.819183,34.814364]"
兰考站,商丘站,380000T32807,"[114.819183,34.814364],[115.657947,34.445778]"
商丘站,阜阳站,380000T32807,"[115.657947,34.445778],[115.868124,32.914557]"
阜阳站,合肥站,380000T32807,"[115.868124,32.914557],[117.316957,31.885144]"
合肥站,芜湖站,380000T32807,"[117.316957,31.885144],[118.391915,31.347857]"
芜湖站,宣城站,380000T32807,"[118.391915,31.347857],[118.775103,30.948176]"
宣城站,广德站,380000T32807,"[118.775103,30.948176],[119.4094,30.911855]"
广德站,长兴南站,380000T32807,"[119.4094,30.911855],[119.905044,30.989751]"
长兴南站,德清西站,380000T32807,"[119.905044,30.989751],[119.958143,30.535202]"
德清西站,杭州站,380000T32807,"[119.958143,30.535202],[120.182802,30.243319]"
杭州站,绍兴站,380000T32807,"[120.182802,30.243319],[120.579668,30.014242]"
绍兴站,上虞站,380000T32807,"[120.579668,30.014242],[120.857116,30.001333]"
上虞站,余姚站,380000T32807,"[120.857116,30.001333],[121.161518,30.054501]"
余姚站,宁波站,380000T32807,"[121.161518,30.054501],[121.536807,29.861967]"
上海虹桥站,嘉善南站,5l000G750166,"[121.320038,31.193987],[120.935551,30.788447]"
嘉善南站,嘉兴南站,5l000G750166,"[120.935551,30.788447],[120.799816,30.690975]"
嘉兴南站,余杭站,5l000G750166,"[120.799816,30.690975],[120.296609,30.380945]"
余杭站,杭州东站,5l000G750166,"[120.296609,30.380945],[120.213116,30.290998]"
杭州东站,绍兴北站,5l000G750166,"[120.213116,30.290998],[120.53841,30.099434]"
绍兴北站,宁波站,5l000G750166,"[120.53841,30.099434],[121.536807,29.861967]"
宁波站,宁海站,5l000G750166,"[121.536807,29.861967],[121.42031,29.336069]"
宁海站,温岭站,5l000G750166,"[121.42031,29.336069],[121.325743,28.479405]"
温岭站,温州南站,5l000G750166,"[121.325743,28.479405],[120.585888,27.965853]"
温州南站,瑞安站,5l000G750166,"[120.585888,27.965853],[120.581982,27.76681]"
瑞安站,平阳站,5l000G750166,"[120.581982,27.76681],[120.545104,27.625482]"
平阳站,苍南站,5l000G750166,"[120.545104,27.625482],[120.412051,27.527902]"
上海虹桥站,嘉兴南站,5l000G754341,"[121.320038,31.193987],[120.799816,30.690975]"
嘉兴南站,杭州东站,5l000G754341,"[120.799816,30.690975],[120.213116,30.290998]"
杭州东站,绍兴北站,5l000G754341,"[120.213116,30.290998],[120.53841,30.099434]"
绍兴北站,余姚北站,5l000G754341,"[120.53841,30.099434],[121.168323,30.098002]"
余姚北站,宁波站,5l000G754341,"[121.168323,30.098002],[121.536807,29.861967]"
宁波站,宁海站,5l000G754341,"[121.536807,29.861967],[121.42031,29.336069]"
宁海站,台州站,5l000G754341,"[121.42031,29.336069],[121.289516,28.685767]"
台州站,乐清站,5l000G754341,"[121.289516,28.685767],[120.859144,28.084415]"
乐清站,温州南站,5l000G754341,"[120.859144,28.084415],[120.585888,27.965853]"
上海虹桥站,金山北站,5l000D228760,"[121.320038,31.193987],[121.089477,30.89428]"
金山北站,嘉兴南站,5l000D228760,"[121.089477,30.89428],[120.799816,30.690975]"
嘉兴南站,杭州东站,5l000D228760,"[120.799816,30.690975],[120.213116,30.290998]"
杭州东站,绍兴北站,5l000D228760,"[120.213116,30.290998],[120.53841,30.099434]"
绍兴北站,绍兴东站,5l000D228760,"[120.53841,30.099434],[120.852957,30.054322]"
绍兴东站,宁波站,5l000D228760,"[120.852957,30.054322],[121.536807,29.861967]"
宁波站,奉化站,5l000D228760,"[121.536807,29.861967],[121.464575,29.627988]"
奉化站,台州站,5l000D228760,"[121.464575,29.627988],[121.289516,28.685767]"
台州站,温岭站,5l000D228760,"[121.289516,28.685767],[121.325743,28.479405]"
温岭站,永嘉站,5l000D228760,"[121.325743,28.479405],[120.695412,28.069463]"
永嘉站,温州南站,5l000D228760,"[120.695412,28.069463],[120.585888,27.965853]"
温州南站,福安站,5l000D228760,"[120.585888,27.965853],[119.717304,26.833989]"
福安站,宁德站,5l000D228760,"[119.717304,26.833989],[119.583257,26.668927]"
宁德站,福州南站,5l000D228760,"[119.583257,26.668927],[119.390512,25.985417]"
福州南站,莆田站,5l000D228760,"[119.390512,25.985417],[119.063708,25.350188]"
莆田站,泉州站,5l000D228760,"[119.063708,25.350188],[118.567767,24.973049]"
泉州站,厦门北站,5l000D228760,"[118.567767,24.973049],[118.074093,24.636125]"
厦门北站,漳州站,5l000D228760,"[118.074093,24.636125],[117.71602,24.457696]"
漳州站,潮汕站,5l000D228760,"[117.71602,24.457696],[116.588171,23.539591]"
潮汕站,陆丰站,5l000D228760,"[116.588171,23.539591],[115.733312,22.947791]"
陆丰站,惠州南站,5l000D228760,"[115.733312,22.947791],[114.492213,22.78464]"
惠州南站,深圳北站,5l000D228760,"[114.492213,22.78464],[114.029397,22.609756]"
杭州东站,绍兴北站,56000D330720,"[120.213116,30.290998],[120.53841,30.099434]"
绍兴北站,绍兴东站,56000D330720,"[120.53841,30.099434],[120.852957,30.054322]"
绍兴东站,余姚北站,56000D330720,"[120.852957,30.054322],[121.168323,30.098002]"
余姚北站,宁波站,56000D330720,"[121.168323,30.098002],[121.536807,29.861967]"
宁波站,临海站,56000D330720,"[121.536807,29.861967],[121.246539,28.880184]"
临海站,台州站,56000D330720,"[121.246539,28.880184],[121.289516,28.685767]"
台州站,雁荡山站,56000D330720,"[121.289516,28.685767],[121.152033,28.341087]"
雁荡山站,温州南站,56000D330720,"[121.152033,28.341087],[120.585888,27.965853]"
温州南站,平阳站,56000D330720,"[120.585888,27.965853],[120.545104,27.625482]"
平阳站,福鼎站,56000D330720,"[120.545104,27.625482],[120.189114,27.282524]"
福鼎站,宁德站,56000D330720,"[120.189114,27.282524],[119.583257,26.668927]"
宁德站,连江站,56000D330720,"[119.583257,26.668927],[119.566780,26.193756]"
连江站,福州南站,56000D330720,"[119.566780,26.193756],[119.390512,25.985417]"
福州南站,莆田站,56000D330720,"[119.390512,25.985417],[119.063708,25.350188]"
莆田站,泉州站,56000D330720,"[119.063708,25.350188],[118.567767,24.973049]"
泉州站,厦门北站,56000D330720,"[118.567767,24.973049],[118.074093,24.636125]"
厦门北站,漳州站,56000D330720,"[118.074093,24.636125],[117.71602,24.457696]"
漳州站,潮汕站,56000D330720,"[117.71602,24.457696],[116.588171,23.539591]"
潮汕站,普宁站,56000D330720,"[116.588171,23.539591],[116.199408,23.266761]"
普宁站,陆丰站,56000D330720,"[116.199408,23.266761],[115.733312,22.947791]"
